Page,Title,Authors,Year,Citations,Google Scholar Link
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Pemberdayaan Kelompok PKK Banjar Binoh Kaja melalui Pelatihan dan Bimbingan Berkelanjutan Mengenai Tata Laksana Awal Keadaan Gawat Darurat Anak Pre-Hospital'
2515,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'The Mental Health of People Living in Urban Areas in West Java, Indonesia'"
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'DISEMINASI HASIL PENELITIAN DAN SOSIALISASI METODE PEMBAYARAN QRIS BAGI PELAKU UMKM KABUPATEN SORONG'
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'The Model of Sexual Violence Anticipation Among Female Student of 13-17 Years Old based on the Health Belief Model'
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Body Mind Therapy Improving Mental Health in Teenager'
2515,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Keperawatan Gawat Darurat: Teori, Manajemen & Penerapan'"
2518,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Gizi Dalam Kebidanan Konsep Dasar Gizi'
2518,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'PEMBERDAYAAN REMAJA PUTRI DALAM PENCEGAHAN ANEMIA EDUKASI, NUTRISI, DAN GAYA HIDUP SEHAT DI KABUPATEN TIMOR TENGAH UTARA'"
2518,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'PENGARUH FAKTOR IBU DAN FAKTOR KEHAMILAN TERHADAP KEJADIAN BAYI BERAT LAHIR RENDAH (BBLR) DI PUSKEMAS OELOLOK'
2518,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'PENDIDIKAN KESEHATAN MEGGUNAKAN MEDIA BOOKLET DALAM MENINGKATKAN PENGETAHUAN DAN SIKAP ORANG TUA TENTANG IMUNISASI DASAR'
2518,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'The effect of giving lemon aromatherapy to first trimester pregnant women with emesis gravidarum at PMB klinik Santa Elisabeth Kefamenanu'
2518,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Factors Influencing the Use of Long-Term Contraceptive Methods at the Noemuti Health Center, North Central Timor District'"
2518,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'KEJADIAN HIPERTENSI PADA LANSIA DI DESA OENENU SELATAN KABUPATEN TIMOR TENGAH UTARA DILIHAT DARI GAYA HIDUP'
2518,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN DUKUNGAN SUAMI DENGAN CAKUPAN KUNJUNGAN K4 DI PUSKESMAS NAPAN TAHUN 2024'
